location_id,name,address,type,label_action,label_category,notes
12,Bakkerij Pot / winkelfiliaal Zwijndrecht,"Oudeland 96, 3335 VJ Zwijndrecht, Netherlands",bakery,ignore,,
13,Stichting aan de Bak,"Teilingen 24, 3334 BV Zwijndrecht, Netherlands",bakery,ignore,,
14,Limburgia Zwijndrecht,"Kort Ambachtlaan 105, 3333 EL Zwijndrecht, Netherlands",bakery,ignore,,
15,Chocobonbon,"Kort Ambachtlaan 105, 3333 EL Zwijndrecht, Netherlands",bakery,ignore,,
16,Food&Sweets {Kasmia} 丨賱賵賷丕鬲 賵 賲毓噩賳丕鬲 賯丕爻賲賷丞,"Van Meelstraat 4, 3331 KR Zwijndrecht, Netherlands",bakery,ignore,,
17,Bakkerij Noord Firat Restoria,"Burgemeester Jansenlaan 43, 3331 HD Zwijndrecht, Netherlands",bakery,keep,bakery,
18,MA Vatan Bakkerij,"Surinamestraat 5, 3333 AK Zwijndrecht, Netherlands",bakery,keep,bakery,
19,C. van der Spoel B.V.,"Burgemeester Jansenlaan 4, 3331 HN Zwijndrecht, Netherlands",bakery,ignore,,
20,ZoetLekkers,"Passage 17, 3331 CM Zwijndrecht, Netherlands",bakery,ignore,,
21,Taartenvanmamma,"Anthonie Fokkerstraat, 3331 KA Zwijndrecht, Netherlands",bakery,ignore,,
22,My_Sugarland_,"Slauerhoffstraat 7, 3333 VK Zwijndrecht, Netherlands",bakery,ignore,,
23,Lian Deco,"Kapitein Rietbergenflat 40, 3333 CA Zwijndrecht, Netherlands",bakery,ignore,,
24,Flour Bakes Bakery,"H. Kamerlingh Onnesstraat, 3331 EL Zwijndrecht, Netherlands",bakery,ignore,,
25,LaRosa,"Jollensteiger 26, 3331 MJ Zwijndrecht, Netherlands",bakery,ignore,,
26,R & P Taart en Cupcakes,"Raaigras 75, 3206 JJ Spijkenisse, Netherlands",bakery,ignore,,
27,Bakkerij Voordijk Oud-Beijerland,"Molendijk 44, 3262 AK Oud-Beijerland, Netherlands",bakery,ignore,,
28,Turkse Bakkerij,"Vierwiekenplein 30, 3262 AN Oud-Beijerland, Netherlands",bakery,keep,bakery,
29,Bakkerij Boender,"Molendijk 21, 3262 AH Oud-Beijerland, Netherlands",bakery,ignore,,
30,Banketbakkerij van Strien B.V.,"Simon Stevinstraat 3, 3261 MG Oud-Beijerland, Netherlands",bakery,ignore,,
31,SPAR Heinenoord,"Emmastraat 4, 3274 AC Heinenoord, Netherlands",bakery,ignore,,
32,Het Taartgeheim,"Emmastraat 8b, 3274 AC Heinenoord, Netherlands",bakery,ignore,,
33,Zoete Post,"Ohmstraat 44, 3335 LT Zwijndrecht, Netherlands",bakery,ignore,,
34,&Bakery,"Ohmstraat 44, 3335 LT Zwijndrecht, Netherlands",bakery,ignore,,
35,Veldmeijers Oliebollen,"Langeweg 21, 3343 LD Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
36,HEMA,"Dollard 26, 3332 EE Zwijndrecht, Netherlands",bakery,ignore,,
37,Bakkerij Voordijk Zwijndrecht,"Shopping Center Walburg, Hof van Holland 1, 3332 EE Zwijndrecht, Netherlands",bakery,ignore,,
38,Jantine麓s Taart,"De Were 27, 3332 KC Zwijndrecht, Netherlands",bakery,ignore,,
39,Kimmie's Bakery,"Piccolopad 3, 3208 RG Spijkenisse, Netherlands",bakery,ignore,,
40,Turkse bakker Murat Bakkerij Aksa,"Zomerakker 99, 3206 TH Spijkenisse, Netherlands",bakery,keep,bakery,
41,Banketbakkerij Smeets,"Winterakker 2A, 3206 TB Spijkenisse, Netherlands",bakery,ignore,,
42,Donut Express,"Oberonweg 282, 3208 PG Spijkenisse, Netherlands",bakery,ignore,,
43,Meesterbakker Voskamp Waterland,"Vlinderveen 445, 3205 EE Spijkenisse, Netherlands",bakery,ignore,,
44,Happy Cookies,"Vlinderveen 207, 3205 EB Spijkenisse, Netherlands",bakery,ignore,,
45,Meesterbakker Voskamp Maaswijk,"Hadewychplaats 82, 3207 KG Spijkenisse, Netherlands",bakery,ignore,,
46,Bakkerij Boender,"Kromme Nering 16, 2995 BH Heerjansdam, Netherlands",bakery,ignore,,
47,Alles is taart,"Wiekslag 12, 2995 VS Heerjansdam, Netherlands",bakery,ignore,,
48,haan carwash Hendrik-Ido-Ambacht,"Korte Langesteijn 2, 3342 LH Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
49,J. Apon Brood- en Banket,"Roestuin 61, 3343 CT Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
50,Bakkerij Wolfert,"Louwersplein, 3343 RC Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
51,C. van der Spoel,"Sophiapromenade 20, 3344 PM Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
52,Meesterbakker Voskamp Sterrenhof,"Sterrenhof 22, 3204 AT Spijkenisse, Netherlands",bakery,ignore,,
53,De Koekelier,"Pootstok 11, 3341 RS Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
54,Diana's Taart & Cupcake,"Pascalweg 7, 3208 KL Spijkenisse, Netherlands",bakery,ignore,,
55,HEMA,"Stadhuispassage 2, 3201 ES Spijkenisse, Netherlands",bakery,ignore,,
56,Enjoy-Cakes,"Voorstraat 45, 3201 BA Spijkenisse, Netherlands",bakery,ignore,,
57,Meesterbakker Voskamp Nieuwstraat,"Nieuwstraat 183, 3201 EE Spijkenisse, Netherlands",bakery,ignore,,
58,MultiVlaai,"Stadhuispassage 2C, 3201 ES Spijkenisse, Netherlands",bakery,ignore,,
59,Spijkenisse,"Uitstraat 3, 3201 EN Spijkenisse, Netherlands",bakery,ignore,,
60,Bakkerij Reedijk,"Uitstraat 3, 3201 EN Spijkenisse, Netherlands",bakery,ignore,,
61,Cake Art BV,"Theemsweg 93, 3201 LT Spijkenisse, Netherlands",bakery,ignore,,
62,Meesterbakker Voskamp Zalmplaat,"In de Fuik 46, 3192 HD Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
63,KC's Bakery,"Tijsjesdijk 7, 3161 CV Rhoon, Netherlands",bakery,ignore,,
64,Mich猫lle's Sweets,"Essendijk 3, 3161 ED Rhoon, Netherlands",bakery,ignore,,
65,Bakkerij Klootwijk,"Van Beuningenhaven 7, 2993 EH Barendrecht, Netherlands",bakery,ignore,,
66,Dudok Patisserie - Bakkerij,"Trondheim 7, 2993 LE Barendrecht, Netherlands",bakery,ignore,,
67,Cannoli box,"L眉beck 5, 2993 LN Barendrecht, Netherlands",bakery,ignore,,
68,R&M Taarten,"Standerdmolen 38, 2992 DL Barendrecht, Netherlands",bakery,ignore,,
69,Bakker. Voordijk Ridderk. B.V.,"De Schoof 124, 3341 EN Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
70,Werkvisie De Hoop Ambachtse Bedrijven (leerwerkbedrijf),"Nijverheidsweg 46c, 3341 LJ Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
71,Werkvisie De Hoop (Leerwerkbedrijf - Kringloop),"Nijverheidsweg 46C, 3341 LJ Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
72,Meesterbakker Voskamp,"Ohmweg 12, 3208 KE Spijkenisse, Netherlands",bakery,ignore,,
73,Van Doorn Bakkerijen,"Puntweg 8, 3208 LD Spijkenisse, Netherlands",bakery,ignore,,
74,Meesterbakker Voskamp Plateau,"'t Plateau 25, 3202 GL Spijkenisse, Netherlands",bakery,ignore,,
75,Minibakes,"Hongerlandsedijk 638, 3201 LW Spijkenisse, Netherlands",bakery,ignore,,
76,Meesterbakker Voskamp Poortugaal,"Kerkstraat 4, 3171 GG Poortugaal, Netherlands",bakery,ignore,,
77,Torta di Donna,"Achterweg 52, 3171 EA Poortugaal, Netherlands",bakery,ignore,,
78,HEMA,"Strawinskiplein 22, 3161 WG Rhoon, Netherlands",bakery,ignore,,
79,De Boulanger / Cafe de Boulanger,"Rijsdijk 11, 3161 HK Rhoon, Netherlands",bakery,ignore,,
80,Meesterbakker Voskamp Rhoon,"Strawinskiplein 3, 3161 WG Rhoon, Netherlands",bakery,ignore,,
81,Vier het met taart,"Mesdagstraat 34, 3161 DD Rhoon, Netherlands",bakery,ignore,,
82,Meesterbakker Uljee,"Hof van Portland 6, 3162 WJ Rhoon, Netherlands",bakery,ignore,,
83,Cake Paleis,"Heuvelsteijn 85, 3162 SE Rhoon, Netherlands",bakery,ignore,,
84,Emir Bakkerij & Market,"Muziekplein 8, 2992 GH Barendrecht, Netherlands",bakery,keep,bakery,
85,Bakkerij Pot / winkelfiliaal Barendrecht,"Onderlangs 15, 2991 EP Barendrecht, Netherlands",bakery,ignore,,
86,Bakkerij Middenbaan,"Middenbaan 49a, 2991 CS Barendrecht, Netherlands",bakery,ignore,,
87,J. Bussing Boulangerie Tradit.,"Het Vlak 7, 2991 EP Barendrecht, Netherlands",bakery,ignore,,
88,Meesterbakker Uljee,"Middenbaan 90, 2991 CT Barendrecht, Netherlands",bakery,ignore,,
89,Bakkerij Pot (bakkerij en kantoor),"Singel 29, 2992 BN Barendrecht, Netherlands",bakery,ignore,,
90,Bakkerij Vos,"Middenbaan 74, 2991 CT Barendrecht, Netherlands",bakery,ignore,,
91,Spring! Housing,"Zuideinde 80, 2991 LK Barendrecht, Netherlands",bakery,ignore,,
92,Sharp Sharp,"Zuideinde 92, 2991 LK Barendrecht, Netherlands",bakery,ignore,,
93,De keuken van Wendelien,"Tarwestraat 49, 2989 AV Ridderkerk, Netherlands",bakery,ignore,,
94,De Haan - Tony's,"Noordeinde 11, 3341 LW Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
95,Bakkerij Aras,"Langs de Baan 104, 3191 TP Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
96,Meesterbakker Voskamp Hoogvliet,"Binnenban 77, 3191 CB Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
97,MultiVlaai,"Middenbaan Noord 190, 3191 EL Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
98,AP Tropical Cakes,"Boerenhoek 24, 3191 TB Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
99,Burger's oliebollen,"Middenbaan Noord 192, 3191 EL Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
100,Stukje Taart,"Rietvelddreef 58, 2992 HJ Barendrecht, Netherlands",bakery,ignore,,
101,The Crown Patisserie,"Vosmaerstraat 7, 2985 BT Ridderkerk, Netherlands",bakery,ignore,,
102,Bakkerij 't Zand Ridderkerk,"Vlietplein 5, 2986 GH Ridderkerk, Netherlands",bakery,ignore,,
103,Smaeck,"Vlietplein 8, 2986 GH Ridderkerk, Netherlands",bakery,ignore,,
104,Grande Finale B.V.,"Bliek 47, 2986 SB Ridderkerk, Netherlands",bakery,ignore,,
105,Bakkerij Ova,"Oude Wal 53 A, 3193 EM Hoogvliet Rotterdam, Netherlands",bakery,keep,bakery,
106,Bakkerij Oriental,"Wilhelm Tellplaats 11, 3194 HS Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
107,Rocelie's Banana Bread,"Langenhorst 635, 3085 HZ Rotterdam, Netherlands",bakery,ignore,,
108,Meesterbakker Uljee,"Ridderkerkstraat 59, 3076 JV Rotterdam, Netherlands",bakery,ignore,,
109,Croissanterie Reijerwaard,"Van Het Hoffstraat 4, 2991 XP Barendrecht, Netherlands",bakery,ignore,,
110,Brood- en Banketbakkerij van der Linden,"Lagendijk 135, 2981 EL Ridderkerk, Netherlands",bakery,ignore,,
111,haan tankstation Donkersloot Ridderkerk,"Voorzand 1, 2984 BH Ridderkerk, Netherlands",bakery,ignore,,
112,Bakkerij Voordijk,"Jan Steenstraat 22, 2981 EG Ridderkerk, Netherlands",bakery,ignore,,
113,HEMA,"Sint Jorisplein 58, 2981 GD Ridderkerk, Netherlands",bakery,ignore,,
114,Plateia,"Koningsplein 11, 2981 EA Ridderkerk, Netherlands",bakery,ignore,,
115,MultiVlaai,"Winkelhart Ridderkerk, Sint Jorisplein 68, 2981 GG Ridderkerk, Netherlands",bakery,ignore,,
116,EBru Bakkerij,"Sint Jorisplein 55-III, 2981 GH Ridderkerk, Netherlands",bakery,ignore,,
117,SweetieHoneyPie shop,"Verlengde Kerkweg 17, 2985 AZ Ridderkerk, Netherlands",bakery,ignore,,
118,bakkerij Yr,"Jan Steenstraat 22, 2981 EG Ridderkerk, Netherlands",bakery,ignore,,
119,Dolci-Siciliani,"Tinstraat 22, 2984 AN Ridderkerk, Netherlands",bakery,ignore,,
120,Banketbakkerij Prins,"Scheldeplein 19, 2953 EV Alblasserdam, Netherlands",bakery,ignore,,
121,De Taartenmama,"Thorbeckestraat 21, 2953 AP Alblasserdam, Netherlands",bakery,ignore,,
243,Bakkerij Jamama,"Krabbendijkestraat 63, 3086 LP Rotterdam, Netherlands",bakery,ignore,,
244,Bakkerij dounia,"Krabbendijkestraat 63, 3086 LP Rotterdam, Netherlands",bakery,ignore,,
245,Van Beek Banquet,"Slinge 415, 3085 ES Rotterdam, Netherlands",bakery,ignore,,
246,Bakkerij Yilmaz,"Slinge 457, 3085 ES Rotterdam, Netherlands",bakery,keep,bakery,
247,Evim bakkerij,"Slinge 199, 3085 GX Rotterdam, Netherlands",bakery,keep,bakery,
248,Speciaal Delicatessen,"Asterlo 7, 3085 AD Rotterdam, Netherlands",bakery,ignore,,
249,Bakery Patisserie Yunus,"Langenhorst 255, 3085 GV Rotterdam, Netherlands",bakery,keep,bakery,
250,Cakes Wonderland,"Nederhorst 34, 3085 VW Rotterdam, Netherlands",bakery,ignore,,
251,Mijn Heide met Taarten,"Menno Ter Braakstraat 88, 3076 EJ Rotterdam, Netherlands",bakery,ignore,,
252,Bakkerij Firat,"Pliniusstraat 14, 3076 AH Rotterdam, Netherlands",bakery,keep,bakery,
253,Bakkerij Firat,"Molenvliet 121, 3076 CJ Rotterdam, Netherlands",bakery,keep,bakery,
254,Bakkerij Voordijk,"Pottenbakkerstraat 9, 2984 AX Ridderkerk, Netherlands",bakery,ignore,,
255,Bakkerij Voordijk,"Havenstraat, 2984 AC Ridderkerk, Netherlands",bakery,ignore,,
256,Home Bake B.V.,"Keurmeesterstraat 19, 2984 BA Ridderkerk, Netherlands",bakery,ignore,,
257,Fabulousscakes,"Rietgors 44, 2953 GB Alblasserdam, Netherlands",bakery,ignore,,
258,Home of Baking,"Lavendel12, 2953 EG Alblasserdam, Netherlands",bakery,ignore,,
259,HEMA,"Zuidplein Hoog 843, 3083 BC Rotterdam, Netherlands",bakery,ignore,,
260,De Taartboetiek,"Dordtsestraatweg 3075, 3075 BN Rotterdam, Netherlands",bakery,ignore,,
261,Uljee Sales B.V.,"Groenezoom 202, 3075 GK Rotterdam, Netherlands",bakery,ignore,,
262,Zhbakery,"Lede 157, 3075 HJ Rotterdam, Netherlands",bakery,ignore,,
263,De Albert Tijn bakkerij,"Vegelinsoord 75, 3079 KK Rotterdam, Netherlands",bakery,ignore,,
264,Bakkerij Patisserie Yunus - Kouwenoord,"Kouwenoord 83, 3079 LG Rotterdam, Netherlands",bakery,keep,bakery,
265,De Albert Tijn bakkerij,"Oldenoord 77, 3086 LH Rotterdam, Netherlands",bakery,ignore,,
266,Sellicious,"Dillenburgplein 1, 2983 CB Ridderkerk, Netherlands",bakery,ignore,,
267,Bakkerij H. Havenaar,"Scheepmakerstraat 1, 2984 BE Ridderkerk, Netherlands",bakery,ignore,,
268,Van der Spoel Services,"Ambachtshof 22, 2983 HZ Ridderkerk, Netherlands",bakery,ignore,,
269,Banketbakkerij Klok,"G.A. Soetemanweg 73, 3195 TB Pernis, Netherlands",bakery,ignore,,
270,Gina's Bakery,"Cremerstraat 143, 3195 VA Pernis, Netherlands",bakery,ignore,,
271,Bakker Klootwijk,"Gruttostraat 16, 3083 KZ Rotterdam, Netherlands",bakery,ignore,,
272,Bakkerij Charlois,"Katendrechtse Lagedijk 335A, 3083 GG Rotterdam, Netherlands",bakery,ignore,,
273,Cake.NL By Planet Cake,"Dorpsweg 41a, 3082 LB Rotterdam, Netherlands",bakery,ignore,,
274,Nefis tat,"Ebenha毛zerstraat 8B, 3083 RN Rotterdam, Netherlands",bakery,keep,bakery,
275,Confectionery Chocolaterie Green,"Katendrechtse Lagedijk 288 A, 3083 GL Rotterdam, Netherlands",bakery,ignore,,
276,Europa banketbakkerij,"Markerstraat 13, 3083 NB Rotterdam, Netherlands",bakery,ignore,,
277,Bakkerij Mazrina,"Pleinweg 180A, 3083 ET Rotterdam, Netherlands",bakery,ignore,,
278,Churros & Sweets,"Zuidplein 617, 3083 BB Rotterdam, Netherlands",bakery,ignore,,
279,sobhone,"Zuidplein 86, 3083 CW Rotterdam, Netherlands",bakery,ignore,,
280,Bakkerij La Plaza,"Pleinweg 180A, 3083 ET Rotterdam, Netherlands",bakery,ignore,,
281,Almina Patisserie,"Zuidplein, 3083 BC Rotterdam, Netherlands",bakery,keep,bakery,
282,De Stroopwafelhoek,"Zuidplein 420, 3083 BH Rotterdam, Netherlands",bakery,ignore,,
283,Bakkerij Kapadokya Bakkerij Semeet,"Nieuwe Binnenweg 501, 3023 EP Rotterdam",bakery,keep,bakery,
284,Bakkerij Istanbul,"Benthuizerstraat 80-B, 3036 CL Rotterdam",bakery,keep,bakery,
285,Antep Caf茅 & Patisserie,"Keersopstraat 15, 3044 EX Rotterdam",bakery,keep,bakery,
286,Bakkerij Firat,"Pliniusstraat 14, 3076 AH Rotterdam",bakery,keep,bakery,
287,陌kram D枚ner & Fastfood en Bakkerij,"Zwart Janstraat 49B, 3035 AL Rotterdam",bakery,keep,bakery,
288,Bakkerij Alanya,"Polderlaan 75A, 77A, 3074 MC Rotterdam",bakery,keep,bakery,
289,Almina - 80 Cup - Patisserie Bakkerij Specialty Coffee - Rotterdam West,"Nieuwe Binnenweg 343 A, 3021 GJ Rotterdam",bakery,keep,bakery,
290,O - Anatolian Bakery,"Paul Nijghkade 5, 3072 AT Rotterdam",bakery,keep,bakery,
291,Bakkerij Patisserie Yunus,"Langenhorst 255, 3085 GV Rotterdam",bakery,keep,bakery,
298,Jan Bussing,"Van Vollenhovenstraat 25, 3016 BG Rotterdam",bakery,ignore,,
299,Das Brot,"Gouvernestraat 246, 3014 PX Rotterdam",bakery,ignore,,
300,Kwaliteits Bakkerij Feijenoord,"Dordtselaan 162-164, 3073 GN Rotterdam",bakery,ignore,,
301,Bas Bakt,"Hartmansstraat 22A, 3012 VA Rotterdam",bakery,ignore,,
302,Bakehouse,"2e Middellandstraat 20 - 22, 3021 BN Rotterdam",bakery,ignore,,
303,Jordy's Bakery Nieuwe Binnenweg,"Nieuwe Binnenweg 97A, 3014 GG Rotterdam, Nederland",bakery,ignore,,
304,Urban Bakery BV,"Voorburgstraat 217-219, 3037 ER Rotterdam, Nederland",bakery,ignore,,
305,Bakkerij Ids,"Treubstraat 9B, 3038 XW Rotterdam, Nederland",bakery,ignore,,
306,Kaya Pastanesi,"1e Middellandstraat 123B, 3021 BD, Rotterdam, Nederland",bakery,keep,bakery,
307,Bakkerij Hazar,"Franselaan 298, 3028 GR Rotterdam",bakery,keep,bakery,
308,S歭en Patisserie Rotterdam West,"Schiedamseweg 173B, 3026 AL Rotterdam",bakery,keep,bakery,
309,Aksu Bakkerij,"Schiedamseweg 69B, 3026 AD Rotterdam",bakery,keep,bakery,
310,Bakkerij Halk,"1e Middellandstraat 40-A, 3014 BE Rotterdam",bakery,keep,bakery,
311,Bakkerij Sadem,"Gerrit Jan Mulderstraat 18, 3023 RG Rotterdam",bakery,keep,bakery,
312,Bakkerij Fes,"Mathenesserplein 82, 3022 LD Rotterdam",bakery,ignore,,
313,Safeer Patisserie & Catering,"Schiedamseweg 134A, 3025 AJ Rotterdam",bakery,ignore,,
314,Bakkerij H. Havenaar,"Scheepmakerstraat 1, 2984 BE Ridderkerk",bakery,ignore,,
315,Bakkerswerkplaats,"Sumatraweg 20-22, 3072 NH Rotterdam",bakery,ignore,,
316,Banketbakkerij Nic. Molendijk,"Groen van Prinstererstraat 156, 3131 GJ Vlaardingen",bakery,ignore,,
317,Banketbakkerij J. Boer v.o.f,"Westhavenplaats 27, 3131 BT Vlaardingen",bakery,ignore,,
318,Holtkamp de bakkerij,"Billitonlaan 64, 3131 LK Vlaardingen",bakery,ignore,,
319,Bakker Ammerlaan (Passage Schiedam),"Passage 21, 3111 EB Schiedam",bakery,ignore,,
320,Bakker Ammerlaan,"Hof van Spaland 23, 3121 CA Schiedam",bakery,ignore,,